Gr_Liv_Area,Lot_Area,Year_Built,Overall_Qual,Overall_Cond,Total_Bsmt_SF,Full_Bath,Half_Bath,Bedroom_AbvGr,TotRms_AbvGrd,Garage_Cars,Fireplaces,Neighborhood,Central_Air,SalePrice
1664,9825,1965,5,5,0.0,2,0,4,8,0.0,0,Edwards,N,100000
1372,8640,2007,7,5,1372.0,2,0,3,6,2.0,0,Somerst,Y,250580
987,1680,1971,6,5,483.0,1,1,2,5,1.0,0,BrDale,Y,96000
1707,16669,1981,8,6,1686.0,2,1,2,6,2.0,1,Timber,Y,228000
1148,7931,1959,5,5,1148.0,1,0,3,6,1.0,0,NAmes,Y,132500
1712,16770,2002,8,5,1712.0,2,0,3,8,3.0,1,NridgHt,Y,286500
1328,6000,1950,5,7,768.0,1,1,3,6,1.0,0,OldTown,Y,129500
1152,10547,1978,5,5,1152.0,2,0,2,6,1.0,0,Edwards,Y,159900
1200,9230,1965,5,8,864.0,1,1,1,6,2.0,0,NAmes,Y,146000
1097,9672,1984,6,5,1040.0,2,0,3,6,2.0,0,SawyerW,Y,152000
1322,6240,1939,5,8,672.0,1,0,4,7,1.0,0,BrkSide,Y,132000
2020,8400,1977,5,5,0.0,2,0,4,10,2.0,2,SawyerW,Y,144000
1236,6993,1961,5,7,912.0,1,0,3,6,1.0,1,Sawyer,Y,135000
1702,10130,2007,8,5,1702.0,2,0,3,7,3.0,1,Somerst,Y,275500
1828,11694,2007,9,5,1822.0,2,0,3,9,3.0,1,NridgHt,Y,314813
1915,10041,1992,8,5,908.0,2,1,3,8,2.0,1,SawyerW,Y,220000
1024,13052,1965,5,6,1024.0,1,1,3,5,1.0,0,Sawyer,Y,120875
1792,11846,2003,9,5,1792.0,2,0,2,6,3.0,1,NridgHt,Y,374000
1724,8924,1998,7,5,880.0,2,1,3,8,2.0,0,CollgCr,Y,188000
1336,11040,1920,4,6,637.0,1,1,3,7,1.0,0,IDOTRR,Y,108000
1884,15401,2004,9,5,1884.0,2,0,2,7,3.0,1,StoneBr,Y,387000
1677,8450,2001,6,5,827.0,2,1,3,7,2.0,0,SawyerW,Y,190500
1131,13072,2005,6,5,1131.0,1,1,3,6,0.0,0,SawyerW,Y,132000
1500,4045,2006,7,5,1356.0,2,0,2,6,3.0,1,Blmngtn,Y,246578
1884,7000,2003,7,5,926.0,2,1,3,7,2.0,1,Somerst,Y,240900
2290,11250,2002,8,5,1128.0,2,1,4,9,2.0,1,CollgCr,Y,255900
768,7200,1972,5,8,768.0,1,0,2,5,1.0,0,CollgCr,Y,133900
1340,6430,1945,6,6,780.0,1,0,3,6,1.0,0,SWISU,N,128000
2076,13891,2006,10,5,2076.0,2,1,2,7,3.0,1,NridgHt,Y,465000
1262,9600,1976,6,8,1262.0,2,0,3,6,2.0,1,Veenker,Y,181500
1842,8826,2000,7,5,985.0,2,1,3,7,2.0,1,CollgCr,Y,217500
1037,10751,1974,5,5,1037.0,1,0,2,5,2.0,0,Sawyer,Y,129000
848,4435,2003,6,5,848.0,1,0,1,4,2.0,0,CollgCr,Y,144000
1430,7750,1999,7,5,384.0,2,1,3,7,2.0,1,Gilbert,Y,156000
1699,10615,1900,3,5,978.0,2,0,3,7,2.0,0,OldTown,Y,95000
1012,8263,1920,6,5,1012.0,1,0,2,6,1.0,1,IDOTRR,Y,118400
2519,26178,1989,7,5,1210.0,2,1,4,9,2.0,2,Timber,Y,335000
1075,11235,1963,5,6,981.0,1,0,3,6,2.0,0,Sawyer,Y,148000
2262,12244,2003,8,5,1482.0,2,1,4,10,3.0,2,Timber,Y,305000
1501,2280,1999,7,5,744.0,2,1,3,6,2.0,0,Somerst,Y,179400
1020,6342,1875,5,8,780.0,1,0,2,6,0.0,0,Sawyer,N,94000
2097,20896,2005,8,5,2077.0,1,1,1,8,3.0,1,Somerst,Y,423000
1750,9000,1880,5,6,636.0,1,0,3,8,1.0,0,OldTown,Y,124000
1412,6000,1939,6,6,780.0,1,0,4,6,1.0,1,BrkSide,Y,132500
1294,6762,2006,7,5,1286.0,2,0,2,6,2.0,1,CollgCr,Y,193879
1610,18600,1938,3,4,972.0,2,0,4,8,1.0,1,Edwards,Y,124000
900,9819,1967,5,5,882.0,1,0,3,5,1.0,0,Sawyer,Y,122000
1370,10400,1976,7,5,1090.0,2,0,3,6,2.0,1,NWAmes,Y,152000
1621,14145,1984,7,7,1208.0,2,0,3,8,2.0,0,NWAmes,Y,202500
1032,7741,1924,6,5,1032.0,1,0,2,5,1.0,0,OldTown,N,108000
630,1533,1970,5,7,630.0,1,0,1,3,0.0,0,MeadowV,Y,92000
1558,6406,1939,5,6,690.0,1,1,3,7,2.0,1,OldTown,Y,150000
1666,6373,2006,9,5,1666.0,2,0,2,6,2.0,1,NridgHt,Y,310090
708,5330,1940,4,7,420.0,1,0,2,5,0.0,0,BrkSide,Y,82500
2097,11228,1993,7,5,1080.0,2,1,3,9,3.0,1,SawyerW,Y,228000
1220,7406,2006,7,5,1199.0,2,0,2,6,2.0,0,CollgCr,Y,194000
1324,6240,2006,8,5,1324.0,2,0,2,6,2.0,1,NridgHt,Y,254000
2497,17778,1981,8,5,2461.0,2,0,2,7,2.0,2,Veenker,Y,373000
1909,8726,2002,7,5,872.0,2,1,4,8,2.0,0,CollgCr,Y,197000
1513,6120,1920,5,8,939.0,1,1,4,8,1.0,0,BrkSide,Y,137500
1964,12447,2005,8,5,1100.0,2,1,3,8,2.0,1,Somerst,Y,252000
1537,11563,2006,8,5,1518.0,2,0,3,8,3.0,0,Timber,Y,294000
848,4426,2004,6,5,848.0,1,0,1,3,2.0,1,CollgCr,Y,141000
1174,9000,1900,5,8,680.0,1,0,2,6,2.0,1,OldTown,Y,135000
1675,24682,1999,6,5,841.0,2,1,3,7,2.0,1,Gilbert,Y,181000
1218,7500,2007,7,5,1218.0,2,0,2,6,2.0,0,Somerst,Y,230348
1620,9991,1976,4,4,1281.0,2,0,3,8,2.0,1,Sawyer,Y,150000
1641,10759,1972,5,4,1001.0,2,0,4,5,2.0,1,Sawyer,Y,140000
1552,10084,2005,7,5,1552.0,2,0,3,7,3.0,0,CollgCr,Y,212900
1456,8029,2005,6,5,728.0,2,1,3,8,2.0,0,Gilbert,Y,176000
2236,13006,1997,7,5,964.0,2,1,4,8,2.0,1,Gilbert,Y,222000
1403,8098,2000,6,5,1381.0,2,0,2,5,2.0,0,Timber,Y,202000
1548,2364,1978,6,5,804.0,2,1,3,7,2.0,1,NPkVill,Y,147000
1206,10725,1959,5,5,1206.0,1,0,3,6,1.0,0,NAmes,Y,108538
936,8520,1916,3,5,216.0,1,0,2,6,0.0,0,IDOTRR,N,78000
1209,9900,1966,5,5,1209.0,1,0,3,6,2.0,0,NAmes,Y,159000
1020,14149,1964,5,8,980.0,2,0,3,5,2.0,1,Sawyer,Y,165000
1092,1484,1972,4,4,546.0,1,1,3,5,1.0,0,MeadowV,Y,79400
1725,11584,1979,7,6,539.0,2,1,3,6,2.0,1,NWAmes,Y,197000
1328,9790,1963,6,5,1328.0,1,1,3,6,2.0,2,NWAmes,Y,143000
846,10800,1920,5,7,720.0,1,0,2,4,2.0,0,OldTown,N,106000
1211,9240,1962,5,6,864.0,1,0,2,6,2.0,1,Sawyer,Y,144000
1478,7380,1998,8,5,1418.0,2,0,2,5,2.0,0,StoneBr,Y,240000
3279,53504,2003,8,5,1650.0,3,1,4,12,3.0,1,StoneBr,Y,538000
1952,9780,1950,7,9,976.0,1,1,4,8,1.0,2,IDOTRR,Y,212300
1824,115149,1971,7,5,1643.0,2,0,2,5,2.0,2,ClearCr,Y,302000
980,9750,1962,5,5,980.0,1,0,3,5,2.0,0,Sawyer,Y,110000
1848,7379,2000,8,5,975.0,2,1,3,7,2.0,1,Somerst,Y,254000
1419,4385,2001,9,5,1419.0,1,1,2,5,2.0,1,Somerst,Y,290000
1644,9480,1942,5,7,728.0,1,1,3,7,1.0,2,NAmes,Y,146500
1654,4960,1930,5,7,297.0,2,0,3,7,1.0,1,BrkSide,Y,137000
1801,14210,1930,6,7,697.0,1,1,3,8,2.0,1,Crawfor,Y,210000
864,6600,1962,5,5,864.0,1,0,2,5,1.0,0,NAmes,Y,125500
882,5500,1956,4,6,882.0,1,0,1,4,0.0,0,OldTown,Y,103200
2217,15865,1970,8,6,2217.0,2,0,4,8,2.0,1,NAmes,Y,268000
1236,2544,2005,6,5,600.0,2,1,2,4,2.0,0,Somerst,Y,152000
1301,7200,2006,7,5,1293.0,2,0,2,5,2.0,1,Somerst,Y,187750
1200,9600,1950,5,6,1200.0,1,0,3,6,1.0,0,NAmes,Y,129900
1217,7175,1991,6,5,1217.0,2,0,2,5,2.0,0,SawyerW,Y,151000
924,15783,1952,5,5,924.0,1,0,2,6,1.0,0,OldTown,Y,112500
1334,10140,1967,7,6,1334.0,2,0,3,7,2.0,0,NWAmes,Y,164500
2279,19958,1958,6,8,585.0,2,1,4,7,2.0,1,Timber,Y,257000
2486,11800,2003,7,5,1122.0,3,1,5,10,2.0,1,Timber,Y,279900
1855,9525,1954,6,4,994.0,2,0,4,7,1.0,0,Edwards,Y,136900
894,7436,1960,4,7,894.0,1,0,2,5,2.0,1,NAmes,Y,141500
988,9100,1962,5,4,988.0,1,0,3,6,2.0,0,Sawyer,Y,129500
1369,9910,2007,7,6,1369.0,2,0,3,5,2.0,0,Somerst,Y,213133
1604,9535,1998,6,5,926.0,2,1,3,7,2.0,0,Gilbert,Y,195500
864,9100,1958,5,5,864.0,1,0,3,5,2.0,0,NAmes,Y,129900
845,6600,1982,5,6,845.0,1,0,3,6,1.0,0,Mitchel,Y,134500
2443,10625,2004,6,5,1158.0,2,1,4,9,3.0,1,Somerst,Y,265000
1647,9532,1953,4,6,1105.0,1,0,3,6,1.0,1,NAmes,Y,153000
1544,14190,1890,4,7,925.0,2,0,3,7,0.0,0,OldTown,Y,138000
1360,4800,1910,5,5,680.0,1,0,2,6,1.0,0,OldTown,N,111000
2064,18559,1978,7,5,2048.0,2,0,3,7,2.0,2,NWAmes,Y,235000
1610,11358,1972,7,7,1124.0,2,0,3,8,2.0,1,NWAmes,Y,185000
1218,7862,2009,6,5,1218.0,2,0,2,4,2.0,0,Somerst,Y,208300
1544,12883,2009,8,5,1544.0,2,0,3,7,3.0,0,NridgHt,Y,290941
2728,20431,2005,9,5,1848.0,2,1,4,10,3.0,2,NridgHt,Y,437154
1806,7570,1964,6,5,780.0,1,1,4,8,2.0,0,NAmes,Y,144750
